epoch,train_acc,train_loss,test_acc,test_loss,,,,,,,,
8,0.989528796,0.010192231,0.90625,0.367022584,,,,,,,,
,,,,,,,,,,,,
9,0.989528796,0.009495211,0.90625,0.390005618,,,,,,,,
,,,,,,,,,,,,
0,0.620418846,0.566897615,0.895833333,0.440226267,,,,,,,,
,,,,,,,,,,,,
1,0.934554972,0.29657057,0.916666667,0.234134922,,,,,,,,
,,,,,,,,,,,,
2,0.950261778,0.160269217,0.885416667,0.224199767,,,,,,,,
,,,,,,,,,,,,
3,0.960732982,0.101418856,0.916666667,0.20427752,,,,,,,,
,,,,,,,,,,,,
4,0.976439791,0.064215063,0.916666667,0.189894609,,,,,,,,
,,,,,,CNN-LSTM FORGET TRUE BACKWARD,,,,,,
5,0.986910995,0.038177104,0.916666667,0.211770871,,,,,,,,
,,,,,,,,,,,,
6,0.984293194,0.03529287,0.90625,0.233013044,,,,,,,,
,,,,,,,,,,,,
7,0.986910995,0.031313139,0.916666667,0.227756401,,,,,,,,
,,,,,,,,,,,,
8,0.984293192,0.032439368,0.90625,0.213934074,,,,,,,,
,,,,,,,,,,,,
9,0.989528796,0.022423569,0.916666667,0.219198048,,,,,,,,
,,,,,,,,,,,,
0,0.696335076,0.549789203,0.9375,0.408023099,,,,,,,,
,,,,,,,,,,,,
1,0.95549738,0.260665523,0.9375,0.181528658,,,,,,,,
,,,,,,,,,,,,
2,0.971204186,0.1026529,0.9375,0.154931883,,,,,,,,
,,,,,,,,,,,,
3,0.979057592,0.05769013,0.9375,0.166895105,,,,,,,,
,,,,,,,,,,,,
4,0.986910995,0.030819204,0.916666667,0.227965422,,,,,,,,
,,,,,,CNN-LSTM FORGET FALSE ,,,,,,
5,0.986910995,0.024062302,0.9375,0.17806121,,,,,,,,
,,,,,,,,,,,,
6,0.989528796,0.017201973,0.9375,0.188861505,,,,,,,,
,,,,,,,,,,,,
7,0.989528796,0.0141547,0.916666667,0.235165436,,,,,,,,
,,,,,,,,,,,,
8,0.989528796,0.014476186,0.927083333,0.22418113,,,,,,,,
,,,,,,,,,,,,
9,0.989528796,0.012462256,0.90625,0.309206436,,,,,,,,
,,,,,,,,,,,,
0,0.727748692,0.530563542,0.90625,0.374653012,,,,,,,,
,,,,,,,,,,,,
1,0.958115183,0.210047387,0.927083333,0.182899905,,,,,,,,
,,,,,,,,,,,,
2,0.958115184,0.102977812,0.927083333,0.178744256,,,,,,,,
,,,,,,,,,,,,
3,0.979057592,0.060845348,0.885416667,0.235827078,,,,,,,,
,,,,,,,,,,,,
4,0.981675393,0.048450265,0.927083333,0.195834709,,,,,,,,
,,,,,, CNN-LSTM FORGET FALSE BACKWARD,,,,,,
5,0.984293192,0.040246023,0.916666667,0.20485391,,,,,,,,
,,,,,,,,,,,,
