,TRAIN_ACC,TRAIN_LOSS,TEST_ACC,TEST_LOSS,,,,,,,,,,,,
0,0.562827226,0.690060637,0.46875,0.661521494,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,0.589005235,0.626596474,0.677083333,0.616382102,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2,0.769633506,0.552351091,0.78125,0.576859136,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3,0.861256543,0.499725293,0.822916667,0.532186687,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
4,0.897905758,0.431949676,0.791666667,0.488158504,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5,0.874345548,0.377331263,0.802083333,0.458148589,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
6,0.905759163,0.317546723,0.791666667,0.429788272,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
7,0.95026178,0.25088402,0.78125,0.431449225,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
8,0.937172773,0.211998324,0.802083333,0.447849045,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
9,0.952879581,0.171211331,0.8125,0.462207705,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,0.698952881,0.675685687,0.677083333,0.664075176,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,0.769633507,0.615283406,0.71875,0.618220508,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2,0.832460731,0.530183901,0.875,0.519763768,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3,0.871727747,0.489754833,0.833333333,0.534557879,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
4,0.87434555,0.47212618,0.864583333,0.477338364,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5,0.861256543,0.425637978,0.71875,0.478545169,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
6,0.892670157,0.411071504,0.875,0.432063649,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
7,0.910994765,0.412068844,0.864583333,0.456486861,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
8,0.879581152,0.421364783,0.822916667,0.488770733,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
9,0.876963351,0.426947801,0.885416667,0.418420255,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,0.725130889,0.577029856,0.677083333,0.558997889,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,0.850785341,0.418540517,0.802083333,0.478688886,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2,0.921465969,0.284487802,0.864583333,0.352943033,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3,0.958115181,0.153090003,0.875,0.250340417,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
4,0.963350783,0.090880642,0.885416667,0.217537115,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5,0.984293194,0.048379619,0.90625,0.182998578,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
6,0.989528796,0.024185296,0.916666667,0.171042909,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
7,0.989528796,0.019445894,0.916666667,0.199947948,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
8,0.989528794,0.01333649,0.885416667,0.221274222,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
9,0.989528796,0.01391605,0.885416667,0.223371595,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,0.589005235,0.667917991,0.739583333,0.567805072,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
